Run,Execution Time
1,0.026272900053299963
2,0.005907400045543909
3,0.007499099941924214
4,0.006205399986356497
5,0.00569969997741282
6,0.006777800037525594
7,0.007263700012117624
8,0.006974900024943054
9,0.0068938999902457
10,0.007588499924167991
11,0.00660650001373142
12,0.005401100032031536
13,0.0064615000737831
14,0.005939199938438833
15,0.007100700051523745
16,0.006689100060611963
17,0.0058370999759063125
18,0.00669990002643317
19,0.005260300007648766
20,0.008081900072284043
21,0.006540599977597594
22,0.006836300017312169
23,0.006235100096091628
24,0.006481599994003773
25,0.006499600014649332
26,0.007198899984359741
27,0.005553300026804209
28,0.005820799968205392
29,0.007198799983598292
30,0.0056177000515162945
31,0.0052137000020593405
Media,0.006469470010294269
