Run,Execution Time
1,0.025559799978509545
2,0.008241600007750094
3,0.008897599996998906
4,0.007396800094284117
5,0.008286099997349083
6,0.011290699942037463
7,0.011887300061061978
8,0.01298780005890876
9,0.01228100003208965
10,0.009119799942709506
11,0.008087099995464087
12,0.009239200036972761
13,0.009983600000850856
14,0.00814439996611327
15,0.009166799951344728
16,0.00815490004606545
17,0.008628200041130185
18,0.008062499924562871
19,0.009752599988132715
20,0.007990000071004033
21,0.0074402999598532915
22,0.008346899994648993
23,0.010236100060865283
24,0.00836939993314445
25,0.007451099925674498
26,0.01045099995099008
27,0.008146900101564825
28,0.009689799975603819
29,0.00884090003091842
30,0.009309899993240833
31,0.007654799963347614
Media,0.009117836668156087
