Run,Execution Time
1,2.2022074999986216
2,0.46080529992468655
3,0.4382482999935746
4,0.39248710009269416
5,0.42136140004731715
6,0.37143609998747706
7,0.3754761000163853
8,0.4216063000494614
9,0.3779083000263199
10,0.37366390007082373
11,0.4313000999391079
12,0.42390769999474287
13,0.4314417000859976
14,0.39294180006254464
15,0.3941874000011012
16,0.4109775999095291
17,0.3688621000619605
18,0.3749489999609068
19,0.42590060003567487
20,0.3694003999698907
21,0.4046179000288248
22,0.36900209996383637
23,0.36742600006982684
24,0.4088647000025958
25,0.3780908000189811
26,0.3673793999478221
27,0.4040503000142053
28,0.3708668000763282
29,0.3944797000149265
30,0.3716919000726193
31,0.37045709998346865
Media,0.39545959668078773
