Run,Execution Time
1,4.1544772000052035
2,0.0707088999915868
3,0.03115079994313419
4,0.03459880000445992
5,0.025638299994170666
6,0.02413080004043877
7,0.02424200007226318
8,0.025659700040705502
9,0.027229200000874698
10,0.028274499927647412
11,0.032212099991738796
12,0.030561999999918044
13,0.025439999997615814
14,0.0276497999439016
15,0.02210549998562783
16,0.021553799975663424
17,0.02318150002975017
18,0.02199119993019849
19,0.02159730007406324
20,0.022117599961347878
21,0.0239322999259457
22,0.021319300052709877
23,0.02122540003620088
24,0.018937299959361553
25,0.019295600010082126
26,0.02049520006403327
27,0.018470500013791025
28,0.019092599977739155
29,0.01981930003967136
30,0.019421599921770394
31,0.018762300023809075
Media,0.025360506664340695
