Run,Execution Time
1,0.042918300023302436
2,0.013217900064773858
3,0.013791400007903576
4,0.013661800068803132
5,0.014024800038896501
6,0.0200745000038296
7,0.016064499970525503
8,0.017418599920347333
9,0.020224299980327487
10,0.015291900024749339
11,0.018675200059078634
12,0.01447819999884814
13,0.013647999963723123
14,0.015474800020456314
15,0.016717799939215183
16,0.01371229998767376
17,0.015716099995188415
18,0.014105399954132736
19,0.013653900008648634
20,0.015599100035615265
21,0.01370050001423806
22,0.014599299989640713
23,0.015642100013792515
24,0.014326300006359816
25,0.014057699940167367
26,0.013768000062555075
27,0.014569799997843802
28,0.013006199966184795
29,0.014483500039204955
30,0.01438050006981939
31,0.013995200046338141
Media,0.015069320006296039
