Run,Execution Time
1,2.1632702000206336
2,0.01616600004490465
3,0.013641900033690035
4,0.012194599956274033
5,0.013897700002416968
6,0.012672899989411235
7,0.013538300059735775
8,0.012526300037279725
9,0.012001199997030199
10,0.011482900008559227
11,0.03715570003259927
12,0.014680800028145313
13,0.01361589995212853
14,0.011686800047755241
15,0.012400200008414686
16,0.013173300074413419
17,0.012078800005838275
18,0.0409468999132514
19,0.011662599979899824
20,0.011960400035604835
21,0.011481099994853139
22,0.010809100000187755
23,0.010016400017775595
24,0.010914199985563755
25,0.011604100000113249
26,0.01011179992929101
27,0.010188600048422813
28,0.010460199904628098
29,0.01099789992440492
30,0.01312410004902631
31,0.011113299988210201
Media,0.01394346666832765
