Run,Execution Time
1,2.0542136000003666
2,0.002618099912069738
3,0.0021433000219985843
4,0.003267899970524013
5,0.0033134000841528177
6,0.0025007999502122402
7,0.0029486999846994877
8,0.002858599997125566
9,0.0027945999754592776
10,0.0032799000618979335
11,0.0029886000556871295
12,0.0030090999789536
13,0.0029964999994263053
14,0.0033727000700309873
15,0.003544399980455637
16,0.0036376999923959374
17,0.0034024000633507967
18,0.003186300047673285
19,0.0035864999517798424
20,0.0031983000226318836
21,0.003285899991169572
22,0.003141600056551397
23,0.0030501000583171844
24,0.0036800000816583633
25,0.00355450005736202
26,0.0036834999918937683
27,0.0031045000068843365
28,0.003232400049455464
29,0.0028891999972984195
30,0.003146099974401295
31,0.003155799931846559
Media,0.0031523800105787815
