Run,Execution Time
1,2.0546616000356153
2,0.003598200040869415
3,0.0031220000237226486
4,0.0033451999770477414
5,0.0033989999210461974
6,0.004876100108958781
7,0.004304900066927075
8,0.003847000072710216
9,0.0032206999603658915
10,0.0034573000157251954
11,0.0036917999386787415
12,0.003937599947676063
13,0.004023700021207333
14,0.004436200018972158
15,0.0043833000818267465
16,0.004122500075027347
17,0.003724500071257353
18,0.00372340006288141
19,0.0035647000186145306
20,0.0034621000522747636
21,0.003869200008921325
22,0.004154499969445169
23,0.0036308999406173825
24,0.004293099977076054
25,0.004213699954561889
26,0.004295100108720362
27,0.00362099998164922
28,0.0035223999293521047
29,0.004311900003813207
30,0.003389699966646731
31,0.0042990000220015645
Media,0.003861356677953154
